METADATA,ASHRAE,ASSEMBLY
MONTHLY,0.95,1.00,0.92,0.95,0.96,0.94,0.95,0.95,0.93,0.96,0.95,1.00
DAY,HOUR,OCCUPANCY,APPLIANCES,LIGHTING,WATER,HEATING,COOLING,PROCESSES,SERVERS,ELECTROMOBILITY
WEEKDAY,1,0.02,0.05,0.12,0.04,SETBACK,SETBACK,0.00,0.05,0.00
WEEKDAY,2,0.01,0.04,0.11,0.03,SETBACK,SETBACK,0.00,0.05,0.00
WEEKDAY,3,0.00,0.03,0.10,0.02,SETBACK,SETBACK,0.00,0.05,0.00
WEEKDAY,4,0.00,0.03,0.10,0.02,SETBACK,SETBACK,0.00,0.05,0.00
WEEKDAY,5,0.00,0.03,0.10,0.02,SETBACK,SETBACK,0.00,0.05,0.00
WEEKDAY,6,0.00,0.03,0.10,0.02,SETBACK,SETBACK,0.00,0.05,0.05
WEEKDAY,7,0.05,0.07,0.15,0.07,SETBACK,SETBACK,0.00,0.05,0.25
WEEKDAY,8,0.10,0.17,0.19,0.21,SETBACK,SETBACK,0.00,0.05,0.65
WEEKDAY,9,0.15,0.21,0.24,0.15,SETPOINT,SETPOINT,0.00,0.05,1.00
WEEKDAY,10,0.20,0.25,0.28,0.20,SETPOINT,SETPOINT,0.00,0.05,0.95
WEEKDAY,11,0.35,0.38,0.42,0.34,SETPOINT,SETPOINT,0.00,0.05,0.75
WEEKDAY,12,0.55,0.55,0.60,0.61,SETPOINT,SETPOINT,0.00,0.05,0.60
WEEKDAY,13,0.60,0.59,0.64,0.66,SETPOINT,SETPOINT,0.00,0.05,0.50
WEEKDAY,14,0.45,0.46,0.51,0.43,SETPOINT,SETPOINT,0.00,0.05,0.40
WEEKDAY,15,0.40,0.42,0.46,0.38,SETPOINT,SETPOINT,0.00,0.05,0.30
WEEKDAY,16,0.45,0.46,0.51,0.43,SETPOINT,SETPOINT,0.00,0.05,0.20
WEEKDAY,17,0.55,0.55,0.60,0.52,SETPOINT,SETPOINT,0.00,0.05,0.15
WEEKDAY,18,0.80,0.76,0.82,0.84,SETPOINT,SETPOINT,0.00,0.05,0.10
WEEKDAY,19,0.90,0.84,0.91,0.93,SETPOINT,SETPOINT,0.00,0.05,0.05
WEEKDAY,20,0.85,0.80,0.86,0.79,SETPOINT,SETPOINT,0.00,0.05,0.02
WEEKDAY,21,0.75,0.72,0.78,0.70,SETPOINT,SETPOINT,0.00,0.05,0.00
WEEKDAY,22,0.50,0.51,0.55,0.47,SETPOINT,SETPOINT,0.00,0.05,0.00
WEEKDAY,23,0.25,0.29,0.33,0.24,SETPOINT,SETPOINT,0.00,0.05,0.00
WEEKDAY,24,0.10,0.17,0.19,0.11,SETPOINT,SETPOINT,0.00,0.05,0.00
SATURDAY,1,0.05,0.07,0.15,0.07,SETBACK,SETBACK,0.00,0.05,0.00
SATURDAY,2,0.02,0.05,0.12,0.04,SETBACK,SETBACK,0.00,0.05,0.00
SATURDAY,3,0.01,0.04,0.11,0.03,SETBACK,SETBACK,0.00,0.05,0.00
SATURDAY,4,0.00,0.03,0.10,0.02,SETBACK,SETBACK,0.00,0.05,0.00
SATURDAY,5,0.00,0.03,0.10,0.02,SETBACK,SETBACK,0.00,0.05,0.00
SATURDAY,6,0.02,0.05,0.12,0.04,SETBACK,SETBACK,0.00,0.05,0.02
