METADATA,ASHRAE,BUSINESS
MONTHLY,0.98,0.88,1.00,0.98,0.98,1.00,1.00,1.00,1.00,0.99,1.00,0.95
DAY,HOUR,OCCUPANCY,APPLIANCES,LIGHTING,WATER,HEATING,COOLING,PROCESSES,SERVERS,ELECTROMOBILITY
WEEKDAY,1,0.00,0.20,0.05,0.02,SETBACK,SETBACK,0.00,0.80,0.00
WEEKDAY,2,0.00,0.20,0.05,0.02,SETBACK,SETBACK,0.00,0.80,0.00
WEEKDAY,3,0.00,0.20,0.05,0.02,SETBACK,SETBACK,0.00,0.80,0.00
WEEKDAY,4,0.00,0.20,0.05,0.02,SETBACK,SETBACK,0.00,0.80,0.00
WEEKDAY,5,0.00,0.20,0.05,0.02,SETBACK,SETBACK,0.00,0.80,0.00
WEEKDAY,6,0.00,0.20,0.10,0.02,SETBACK,SETBACK,0.00,0.80,0.05
WEEKDAY,7,0.10,0.29,0.10,0.09,SETPOINT,SETPOINT,0.00,0.80,0.25
WEEKDAY,8,0.20,0.36,0.30,0.26,SETPOINT,SETPOINT,0.00,0.80,0.65
WEEKDAY,9,0.95,0.88,0.90,0.68,SETPOINT,SETPOINT,0.00,0.90,1.00
WEEKDAY,10,0.95,0.88,0.90,0.68,SETPOINT,SETPOINT,0.00,0.90,0.95
WEEKDAY,11,0.95,0.88,0.90,0.68,SETPOINT,SETPOINT,0.00,0.90,0.75
WEEKDAY,12,0.95,0.88,0.90,0.78,SETPOINT,SETPOINT,0.00,0.90,0.60
WEEKDAY,13,0.50,0.57,0.90,0.47,SETPOINT,SETPOINT,0.00,0.90,0.50
WEEKDAY,14,0.95,0.88,0.90,0.68,SETPOINT,SETPOINT,0.00,0.90,0.40
WEEKDAY,15,0.95,0.88,0.90,0.68,SETPOINT,SETPOINT,0.00,0.90,0.30
WEEKDAY,16,0.95,0.88,0.90,0.68,SETPOINT,SETPOINT,0.00,0.90,0.20
WEEKDAY,17,0.95,0.88,0.90,0.68,SETPOINT,SETPOINT,0.00,0.90,0.15
WEEKDAY,18,0.30,0.43,0.50,0.33,SETPOINT,SETPOINT,0.00,0.90,0.10
WEEKDAY,19,0.10,0.29,0.30,0.19,SETPOINT,SETPOINT,0.00,0.85,0.05
WEEKDAY,20,0.10,0.29,0.30,0.09,SETBACK,SETBACK,0.00,0.85,0.02
WEEKDAY,21,0.10,0.29,0.20,0.09,SETBACK,SETBACK,0.00,0.85,0.00
WEEKDAY,22,0.10,0.29,0.20,0.09,SETBACK,SETBACK,0.00,0.85,0.00
WEEKDAY,23,0.05,0.24,0.10,0.05,SETBACK,SETBACK,0.00,0.85,0.00
WEEKDAY,24,0.05,0.24,0.05,0.05,SETBACK,SETBACK,0.00,0.85,0.00
SATURDAY,1,0.00,0.20,0.05,0.02,SETBACK,SETBACK,0.00,0.82,0.00
SATURDAY,2,0.00,0.20,0.05,0.02,SETBACK,SETBACK,0.00,0.82,0.00
SATURDAY,3,0.00,0.20,0.05,0.02,SETBACK,SETBACK,0.00,0.82,0.00
SATURDAY,4,0.00,0.20,0.05,0.02,SETBACK,SETBACK,0.00,0.82,0.00
SATURDAY,5,0.00,0.20,0.05,0.02,SETBACK,SETBACK,0.00,0.82,0.00
SATURDAY,6,0.00,0.20,0.05,0.02,SETBACK,SETBACK,0.00,0.82,0.01
SATURDAY,7,0.05,0.24,0.10,0.05,SETBACK,SETBACK,0.00,0.82,0.02
SATURDAY,8,0.10,0.29,0.10,0.19,SETPOINT,SETPOINT,0.00,0.82,0.03
SATURDAY,9,0.30,0.43,0.30,0.23,SETPOINT,SETPOINT,0.00,0.82,0.09
SATURDAY,10,0.30,0.43,0.30,0.23,SETPOINT,SETPOINT,0.00,0.82,0.16
SATURDAY,11,0.30,0.43,0.30,0.23,SETPOINT,SETPOINT,0.00,0.82,0.23
SATURDAY,12,0.30,0.43,0.30,0.33,SETPOINT,SETPOINT,0.00,0.82,0.26
SATURDAY,13,0.10,0.29,0.15,0.19,SETPOINT,SETPOINT,0.00,0.82,0.26
SATURDAY,14,0.10,0.29,0.15,0.09,SETBACK,SETBACK,0.00,0.82,0.24
SATURDAY,15,0.10,0.29,0.15,0.09,SETBACK,SETBACK,0.00,0.82,0.23
SATURDAY,16,0.10,0.29,0.15,0.09,SETBACK,SETBACK,0.00,0.82,0.21
SATURDAY,17,0.10,0.29,0.15,0.09,SETBACK,SETBACK,0.00,0.82,0.19
SATURDAY,18,0.05,0.24,0.05,0.15,SETBACK,SETBACK,0.00,0.82,0.16
SATURDAY,19,0.00,0.20,0.05,0.12,SETBACK,SETBACK,0.00,0.82,0.12
SATURDAY,20,0.00,0.20,0.05,0.02,SETBACK,SETBACK,0.00,0.82,0.09
SATURDAY,21,0.00,0.20,0.05,0.02,SETBACK,SETBACK,0.00,0.82,0.05
SATURDAY,22,0.00,0.20,0.05,0.02,SETBACK,SETBACK,0.00,0.82,0.03
SATURDAY,23,0.00,0.20,0.05,0.02,SETBACK,SETBACK,0.00,0.82,0.01
SATURDAY,24,0.00,0.20,0.05,0.02,SETBACK,SETBACK,0.00,0.82,0.00
SUNDAY,1,0.00,0.20,0.05,0.02,SETBACK,SETBACK,0.00,0.80,0.00
SUNDAY,2,0.00,0.20,0.05,0.02,SETBACK,SETBACK,0.00,0.80,0.00
SUNDAY,3,0.00,0.20,0.05,0.02,SETBACK,SETBACK,0.00,0.80,0.00
SUNDAY,4,0.00,0.20,0.05,0.02,SETBACK,SETBACK,0.00,0.80,0.00
SUNDAY,5,0.00,0.20,0.05,0.02,SETBACK,SETBACK,0.00,0.80,0.00
SUNDAY,6,0.00,0.20,0.05,0.02,SETBACK,SETBACK,0.00,0.80,0.00
SUNDAY,7,0.05,0.24,0.05,0.05,SETBACK,SETBACK,0.00,0.80,0.01
SUNDAY,8,0.05,0.24,0.05,0.15,SETBACK,SETBACK,0.00,0.80,0.01
SUNDAY,9,0.05,0.24,0.05,0.05,SETBACK,SETBACK,0.00,0.80,0.04
SUNDAY,10,0.05,0.24,0.05,0.05,SETBACK,SETBACK,0.00,0.80,0.07
SUNDAY,11,0.05,0.24,0.05,0.05,SETBACK,SETBACK,0.00,0.80,0.10
SUNDAY,12,0.05,0.24,0.05,0.15,SETBACK,SETBACK,0.00,0.80,0.11
SUNDAY,13,0.05,0.24,0.05,0.15,SETBACK,SETBACK,0.00,0.80,0.11
SUNDAY,14,0.05,0.24,0.05,0.05,SETBACK,SETBACK,0.00,0.80,0.10
SUNDAY,15,0.05,0.24,0.05,0.05,SETBACK,SETBACK,0.00,0.80,0.10
SUNDAY,16,0.05,0.24,0.05,0.05,SETBACK,SETBACK,0.00,0.80,0.09
SUNDAY,17,0.05,0.24,0.05,0.05,SETBACK,SETBACK,0.00,0.80,0.08
SUNDAY,18,0.05,0.24,0.05,0.15,SETBACK,SETBACK,0.00,0.80,0.07
SUNDAY,19,0.00,0.20,0.05,0.12,SETBACK,SETBACK,0.00,0.80,0.05
SUNDAY,20,0.00,0.20,0.05,0.02,SETBACK,SETBACK,0.00,0.80,0.04
SUNDAY,21,0.00,0.20,0.05,0.02,SETBACK,SETBACK,0.00,0.80,0.02
SUNDAY,22,0.00,0.20,0.05,0.02,SETBACK,SETBACK,0.00,0.80,0.01
SUNDAY,23,0.00,0.20,0.05,0.02,SETBACK,SETBACK,0.00,0.80,0.00
SUNDAY,24,0.00,0.20,0.05,0.02,SETBACK,SETBACK,0.00,0.80,0.00
