METADATA,ASHRAE,EDUCATIONAL
MONTHLY,0.90,0.80,1.00,0.90,1.00,0.90,0.35,0.35,1.00,0.98,1.00,0.75
DAY,HOUR,OCCUPANCY,APPLIANCES,LIGHTING,WATER,HEATING,COOLING,PROCESSES,SERVERS,ELECTROMOBILITY
WEEKDAY,1,0.00,0.05,0.08,0.02,SETBACK,SETBACK,0.00,0.30,0.00
WEEKDAY,2,0.00,0.05,0.08,0.02,SETBACK,SETBACK,0.00,0.30,0.00
WEEKDAY,3,0.00,0.05,0.08,0.02,SETBACK,SETBACK,0.00,0.30,0.00
WEEKDAY,4,0.00,0.05,0.08,0.02,SETBACK,SETBACK,0.00,0.30,0.00
WEEKDAY,5,0.00,0.05,0.08,0.02,SETBACK,SETBACK,0.00,0.30,0.00
WEEKDAY,6,0.05,0.09,0.12,0.06,SETPOINT,SETPOINT,0.00,0.30,0.05
WEEKDAY,7,0.30,0.30,0.35,0.24,SETPOINT,SETPOINT,0.00,0.30,0.25
WEEKDAY,8,0.85,0.72,0.84,0.76,SETPOINT,SETPOINT,0.00,0.40,0.65
WEEKDAY,9,0.95,0.79,0.93,0.73,SETPOINT,SETPOINT,0.00,0.40,1.00
WEEKDAY,10,0.95,0.79,0.93,0.73,SETPOINT,SETPOINT,0.00,0.40,0.95
WEEKDAY,11,0.95,0.79,0.93,0.73,SETPOINT,SETPOINT,0.00,0.40,0.75
WEEKDAY,12,0.90,0.76,0.89,0.80,SETPOINT,SETPOINT,0.00,0.40,0.60
WEEKDAY,13,0.85,0.72,0.84,0.76,SETPOINT,SETPOINT,0.00,0.40,0.50
WEEKDAY,14,0.95,0.79,0.93,0.73,SETPOINT,SETPOINT,0.00,0.40,0.40
WEEKDAY,15,0.95,0.79,0.93,0.73,SETPOINT,SETPOINT,0.00,0.40,0.30
WEEKDAY,16,0.70,0.60,0.71,0.54,SETPOINT,SETPOINT,0.00,0.40,0.20
WEEKDAY,17,0.35,0.34,0.40,0.28,SETPOINT,SETPOINT,0.00,0.40,0.15
WEEKDAY,18,0.15,0.19,0.22,0.23,SETPOINT,SETPOINT,0.00,0.40,0.10
WEEKDAY,19,0.10,0.16,0.17,0.20,SETBACK,SETBACK,0.00,0.32,0.05
WEEKDAY,20,0.05,0.09,0.12,0.06,SETBACK,SETBACK,0.00,0.32,0.02
WEEKDAY,21,0.02,0.07,0.10,0.04,SETBACK,SETBACK,0.00,0.32,0.00
WEEKDAY,22,0.00,0.05,0.08,0.02,SETBACK,SETBACK,0.00,0.32,0.00
WEEKDAY,23,0.00,0.05,0.08,0.02,SETBACK,SETBACK,0.00,0.32,0.00
WEEKDAY,24,0.00,0.05,0.08,0.02,SETBACK,SETBACK,0.00,0.32,0.00
SATURDAY,1,0.00,0.05,0.08,0.02,SETBACK,SETBACK,0.00,0.30,0.00
SATURDAY,2,0.00,0.05,0.08,0.02,SETBACK,SETBACK,0.00,0.30,0.00
SATURDAY,3,0.00,0.05,0.08,0.02,SETBACK,SETBACK,0.00,0.30,0.00
SATURDAY,4,0.00,0.05,0.08,0.02,SETBACK,SETBACK,0.00,0.30,0.00
SATURDAY,5,0.00,0.05,0.08,0.02,SETBACK,SETBACK,0.00,0.30,0.00
SATURDAY,6,0.00,0.05,0.08,0.02,SETBACK,SETBACK,0.00,0.30,0.00
SATURDAY,7,0.05,0.09,0.12,0.06,SETBACK,SETBACK,0.00,0.30,0.01
SATURDAY,8,0.10,0.16,0.17,0.20,SETPOINT,SETPOINT,0.00,0.30,0.02
SATURDAY,9,0.20,0.23,0.26,0.17,SETPOINT,SETPOINT,0.00,0.30,0.05
SATURDAY,10,0.25,0.27,0.30,0.21,SETPOINT,SETPOINT,0.00,0.30,0.09
SATURDAY,11,0.25,0.27,0.30,0.21,SETPOINT,SETPOINT,0.00,0.30,0.13
SATURDAY,12,0.20,0.23,0.26,0.27,SETPOINT,SETPOINT,0.00,0.30,0.15
SATURDAY,13,0.20,0.23,0.26,0.27,SETPOINT,SETPOINT,0.00,0.30,0.15
SATURDAY,14,0.20,0.23,0.26,0.17,SETPOINT,SETPOINT,0.00,0.30,0.14
SATURDAY,15,0.15,0.19,0.22,0.13,SETPOINT,SETPOINT,0.00,0.30,0.13
SATURDAY,16,0.10,0.16,0.17,0.10,SETBACK,SETBACK,0.00,0.30,0.12
SATURDAY,17,0.05,0.09,0.12,0.06,SETBACK,SETBACK,0.00,0.30,0.11
SATURDAY,18,0.05,0.09,0.12,0.16,SETBACK,SETBACK,0.00,0.30,0.09
SATURDAY,19,0.02,0.07,0.10,0.14,SETBACK,SETBACK,0.00,0.30,0.07
SATURDAY,20,0.00,0.05,0.08,0.02,SETBACK,SETBACK,0.00,0.30,0.05
SATURDAY,21,0.00,0.05,0.08,0.02,SETBACK,SETBACK,0.00,0.30,0.03
SATURDAY,22,0.00,0.05,0.08,0.02,SETBACK,SETBACK,0.00,0.30,0.02
SATURDAY,23,0.00,0.05,0.08,0.02,SETBACK,SETBACK,0.00,0.30,0.01
SATURDAY,24,0.00,0.05,0.08,0.02,SETBACK,SETBACK,0.00,0.30,0.00
SUNDAY,1,0.00,0.05,0.08,0.02,SETBACK,SETBACK,0.00,0.28,0.00
SUNDAY,2,0.00,0.05,0.08,0.02,SETBACK,SETBACK,0.00,0.28,0.00
SUNDAY,3,0.00,0.05,0.08,0.02,SETBACK,SETBACK,0.00,0.28,0.00
SUNDAY,4,0.00,0.05,0.08,0.02,SETBACK,SETBACK,0.00,0.28,0.00
SUNDAY,5,0.00,0.05,0.08,0.02,SETBACK,SETBACK,0.00,0.28,0.00
SUNDAY,6,0.00,0.05,0.08,0.02,SETBACK,SETBACK,0.00,0.28,0.00
SUNDAY,7,0.02,0.07,0.10,0.04,SETBACK,SETBACK,0.00,0.28,0.00
SUNDAY,8,0.02,0.07,0.10,0.14,SETBACK,SETBACK,0.00,0.28,0.01
SUNDAY,9,0.05,0.09,0.12,0.06,SETBACK,SETBACK,0.00,0.28,0.02
SUNDAY,10,0.05,0.09,0.12,0.06,SETBACK,SETBACK,0.00,0.28,0.04
SUNDAY,11,0.05,0.09,0.12,0.06,SETBACK,SETBACK,0.00,0.28,0.05
SUNDAY,12,0.05,0.09,0.12,0.16,SETBACK,SETBACK,0.00,0.28,0.06
SUNDAY,13,0.05,0.09,0.12,0.16,SETBACK,SETBACK,0.00,0.28,0.06
SUNDAY,14,0.05,0.09,0.12,0.06,SETBACK,SETBACK,0.00,0.28,0.06
SUNDAY,15,0.05,0.09,0.12,0.06,SETBACK,SETBACK,0.00,0.28,0.05
SUNDAY,16,0.05,0.09,0.12,0.06,SETBACK,SETBACK,0.00,0.28,0.05
SUNDAY,17,0.02,0.07,0.10,0.04,SETBACK,SETBACK,0.00,0.28,0.04
