METADATA,ASHRAE,FACTORY
MONTHLY,0.96,0.85,0.98,0.98,0.98,1.00,1.00,1.00,1.00,0.98,1.00,0.96
DAY,HOUR,OCCUPANCY,APPLIANCES,LIGHTING,WATER,HEATING,COOLING,PROCESSES,SERVERS,ELECTROMOBILITY
WEEKDAY,1,0.15,0.23,0.21,0.10,SETBACK,SETBACK,0.35,0.20,0.00
WEEKDAY,2,0.15,0.23,0.21,0.10,SETBACK,SETBACK,0.35,0.20,0.00
WEEKDAY,3,0.15,0.23,0.21,0.10,SETBACK,SETBACK,0.35,0.20,0.00
WEEKDAY,4,0.15,0.23,0.21,0.10,SETBACK,SETBACK,0.35,0.20,0.00
WEEKDAY,5,0.15,0.23,0.21,0.10,SETPOINT,SETPOINT,0.35,0.20,0.00
WEEKDAY,6,0.35,0.34,0.36,0.21,SETPOINT,SETPOINT,0.50,0.20,0.05
WEEKDAY,7,0.80,0.59,0.70,0.46,SETPOINT,SETPOINT,0.80,0.20,0.25
WEEKDAY,8,0.90,0.65,0.78,0.61,SETPOINT,SETPOINT,1.00,0.20,0.65
WEEKDAY,9,0.90,0.65,0.78,0.52,SETPOINT,SETPOINT,1.00,0.20,1.00
WEEKDAY,10,0.90,0.65,0.78,0.52,SETPOINT,SETPOINT,1.00,0.20,0.95
WEEKDAY,11,0.90,0.65,0.78,0.52,SETPOINT,SETPOINT,1.00,0.20,0.75
WEEKDAY,12,0.75,0.56,0.66,0.53,SETPOINT,SETPOINT,0.70,0.20,0.60
WEEKDAY,13,0.90,0.65,0.78,0.61,SETPOINT,SETPOINT,1.00,0.20,0.50
WEEKDAY,14,0.90,0.65,0.78,0.52,SETPOINT,SETPOINT,1.00,0.20,0.40
WEEKDAY,15,0.90,0.65,0.78,0.52,SETPOINT,SETPOINT,1.00,0.20,0.30
WEEKDAY,16,0.90,0.65,0.78,0.52,SETPOINT,SETPOINT,1.00,0.20,0.20
WEEKDAY,17,0.80,0.59,0.70,0.46,SETPOINT,SETPOINT,0.80,0.20,0.15
WEEKDAY,18,0.60,0.48,0.55,0.45,SETPOINT,SETPOINT,0.60,0.20,0.10
WEEKDAY,19,0.45,0.40,0.44,0.37,SETPOINT,SETPOINT,0.50,0.20,0.05
WEEKDAY,20,0.35,0.34,0.36,0.21,SETPOINT,SETPOINT,0.40,0.20,0.02
WEEKDAY,21,0.25,0.29,0.29,0.16,SETPOINT,SETPOINT,0.35,0.20,0.00
WEEKDAY,22,0.20,0.26,0.25,0.13,SETPOINT,SETPOINT,0.35,0.20,0.00
WEEKDAY,23,0.15,0.23,0.21,0.10,SETBACK,SETBACK,0.35,0.20,0.00
WEEKDAY,24,0.15,0.23,0.21,0.10,SETBACK,SETBACK,0.35,0.20,0.00
SATURDAY,1,0.10,0.21,0.18,0.08,SETBACK,SETBACK,0.25,0.20,0.00
SATURDAY,2,0.10,0.21,0.18,0.08,SETBACK,SETBACK,0.25,0.20,0.00
SATURDAY,3,0.10,0.21,0.18,0.08,SETBACK,SETBACK,0.25,0.20,0.00
