METADATA,ASHRAE,HIGH_HAZARD
MONTHLY,0.98,0.92,1.00,0.99,0.99,1.00,1.00,1.00,1.00,0.99,1.00,0.98
DAY,HOUR,OCCUPANCY,APPLIANCES,LIGHTING,WATER,HEATING,COOLING,PROCESSES,SERVERS,ELECTROMOBILITY
WEEKDAY,1,0.35,0.46,0.39,0.22,SETPOINT,SETPOINT,0.85,0.30,0.00
WEEKDAY,2,0.35,0.46,0.39,0.22,SETPOINT,SETPOINT,0.85,0.30,0.00
WEEKDAY,3,0.35,0.46,0.39,0.22,SETPOINT,SETPOINT,0.85,0.30,0.00
WEEKDAY,4,0.35,0.46,0.39,0.22,SETPOINT,SETPOINT,0.85,0.30,0.00
WEEKDAY,5,0.35,0.46,0.39,0.22,SETPOINT,SETPOINT,0.85,0.30,0.00
WEEKDAY,6,0.35,0.46,0.39,0.22,SETPOINT,SETPOINT,0.85,0.30,0.05
WEEKDAY,7,0.70,0.67,0.64,0.40,SETPOINT,SETPOINT,0.95,0.30,0.25
WEEKDAY,8,0.85,0.76,0.74,0.57,SETPOINT,SETPOINT,1.00,0.30,0.65
WEEKDAY,9,0.85,0.76,0.74,0.47,SETPOINT,SETPOINT,1.00,0.30,1.00
WEEKDAY,10,0.85,0.76,0.74,0.47,SETPOINT,SETPOINT,1.00,0.30,0.95
WEEKDAY,11,0.85,0.76,0.74,0.47,SETPOINT,SETPOINT,1.00,0.30,0.75
WEEKDAY,12,0.75,0.70,0.67,0.53,SETPOINT,SETPOINT,0.95,0.30,0.60
WEEKDAY,13,0.85,0.76,0.74,0.57,SETPOINT,SETPOINT,1.00,0.30,0.50
WEEKDAY,14,0.85,0.76,0.74,0.47,SETPOINT,SETPOINT,1.00,0.30,0.40
WEEKDAY,15,0.85,0.76,0.74,0.47,SETPOINT,SETPOINT,1.00,0.30,0.30
WEEKDAY,16,0.85,0.76,0.74,0.47,SETPOINT,SETPOINT,1.00,0.30,0.20
WEEKDAY,17,0.75,0.70,0.67,0.42,SETPOINT,SETPOINT,0.95,0.30,0.15
WEEKDAY,18,0.60,0.61,0.57,0.45,SETPOINT,SETPOINT,0.90,0.30,0.10
WEEKDAY,19,0.50,0.55,0.50,0.40,SETPOINT,SETPOINT,0.90,0.30,0.05
WEEKDAY,20,0.45,0.52,0.46,0.28,SETPOINT,SETPOINT,0.90,0.30,0.02
WEEKDAY,21,0.40,0.49,0.43,0.25,SETPOINT,SETPOINT,0.85,0.30,0.00
WEEKDAY,22,0.35,0.46,0.39,0.22,SETPOINT,SETPOINT,0.85,0.30,0.00
WEEKDAY,23,0.35,0.46,0.39,0.22,SETPOINT,SETPOINT,0.85,0.30,0.00
WEEKDAY,24,0.35,0.46,0.39,0.22,SETPOINT,SETPOINT,0.85,0.30,0.00
SATURDAY,1,0.30,0.43,0.36,0.20,SETPOINT,SETPOINT,0.85,0.30,0.00
SATURDAY,2,0.30,0.43,0.36,0.20,SETPOINT,SETPOINT,0.85,0.30,0.00
SATURDAY,3,0.30,0.43,0.36,0.20,SETPOINT,SETPOINT,0.85,0.30,0.00
SATURDAY,4,0.30,0.43,0.36,0.20,SETPOINT,SETPOINT,0.85,0.30,0.00
SATURDAY,5,0.30,0.43,0.36,0.20,SETPOINT,SETPOINT,0.85,0.30,0.00
SATURDAY,6,0.30,0.43,0.36,0.20,SETPOINT,SETPOINT,0.85,0.30,0.00
SATURDAY,7,0.55,0.58,0.54,0.33,SETPOINT,SETPOINT,0.95,0.30,0.01
SATURDAY,8,0.70,0.67,0.64,0.50,SETPOINT,SETPOINT,1.00,0.30,0.02
SATURDAY,9,0.70,0.67,0.64,0.40,SETPOINT,SETPOINT,1.00,0.30,0.05
SATURDAY,10,0.70,0.67,0.64,0.40,SETPOINT,SETPOINT,1.00,0.30,0.09
SATURDAY,11,0.70,0.67,0.64,0.40,SETPOINT,SETPOINT,1.00,0.30,0.13
SATURDAY,12,0.65,0.64,0.60,0.47,SETPOINT,SETPOINT,0.95,0.30,0.15
SATURDAY,13,0.70,0.67,0.64,0.50,SETPOINT,SETPOINT,1.00,0.30,0.15
SATURDAY,14,0.70,0.67,0.64,0.40,SETPOINT,SETPOINT,1.00,0.30,0.14
SATURDAY,15,0.65,0.64,0.60,0.38,SETPOINT,SETPOINT,1.00,0.30,0.13
SATURDAY,16,0.55,0.58,0.54,0.33,SETPOINT,SETPOINT,1.00,0.30,0.12
SATURDAY,17,0.45,0.52,0.46,0.28,SETPOINT,SETPOINT,0.95,0.30,0.11
SATURDAY,18,0.35,0.46,0.39,0.32,SETPOINT,SETPOINT,0.90,0.30,0.09
SATURDAY,19,0.30,0.43,0.36,0.30,SETPOINT,SETPOINT,0.90,0.30,0.07
SATURDAY,20,0.30,0.43,0.36,0.20,SETPOINT,SETPOINT,0.90,0.30,0.05
SATURDAY,21,0.30,0.43,0.36,0.20,SETPOINT,SETPOINT,0.85,0.30,0.03
SATURDAY,22,0.30,0.43,0.36,0.20,SETPOINT,SETPOINT,0.85,0.30,0.02
SATURDAY,23,0.30,0.43,0.36,0.20,SETPOINT,SETPOINT,0.85,0.30,0.01
SATURDAY,24,0.30,0.43,0.36,0.20,SETPOINT,SETPOINT,0.85,0.30,0.00
SUNDAY,1,0.25,0.40,0.32,0.17,SETPOINT,SETPOINT,0.85,0.30,0.00
SUNDAY,2,0.25,0.40,0.32,0.17,SETPOINT,SETPOINT,0.85,0.30,0.00
SUNDAY,3,0.25,0.40,0.32,0.17,SETPOINT,SETPOINT,0.85,0.30,0.00
SUNDAY,4,0.25,0.40,0.32,0.17,SETPOINT,SETPOINT,0.85,0.30,0.00
SUNDAY,5,0.25,0.40,0.32,0.17,SETPOINT,SETPOINT,0.85,0.30,0.00
SUNDAY,6,0.25,0.40,0.32,0.17,SETPOINT,SETPOINT,0.85,0.30,0.00
SUNDAY,7,0.35,0.46,0.39,0.22,SETPOINT,SETPOINT,0.95,0.30,0.00
SUNDAY,8,0.45,0.52,0.46,0.38,SETPOINT,SETPOINT,1.00,0.30,0.01
SUNDAY,9,0.50,0.55,0.50,0.30,SETPOINT,SETPOINT,1.00,0.30,0.02
SUNDAY,10,0.50,0.55,0.50,0.30,SETPOINT,SETPOINT,1.00,0.30,0.04
SUNDAY,11,0.50,0.55,0.50,0.30,SETPOINT,SETPOINT,1.00,0.30,0.05
SUNDAY,12,0.45,0.52,0.46,0.38,SETPOINT,SETPOINT,0.95,0.30,0.06
SUNDAY,13,0.45,0.52,0.46,0.38,SETPOINT,SETPOINT,1.00,0.30,0.06
SUNDAY,14,0.45,0.52,0.46,0.28,SETPOINT,SETPOINT,1.00,0.30,0.06
SUNDAY,15,0.40,0.49,0.43,0.25,SETPOINT,SETPOINT,1.00,0.30,0.05
SUNDAY,16,0.35,0.46,0.39,0.22,SETPOINT,SETPOINT,1.00,0.30,0.05
SUNDAY,17,0.30,0.43,0.36,0.20,SETPOINT,SETPOINT,0.95,0.30,0.04
SUNDAY,18,0.25,0.40,0.32,0.28,SETPOINT,SETPOINT,0.90,0.30,0.04
SUNDAY,19,0.25,0.40,0.32,0.28,SETPOINT,SETPOINT,0.90,0.30,0.03
SUNDAY,20,0.25,0.40,0.32,0.17,SETPOINT,SETPOINT,0.90,0.30,0.02
SUNDAY,21,0.25,0.40,0.32,0.17,SETPOINT,SETPOINT,0.85,0.30,0.01
SUNDAY,22,0.25,0.40,0.32,0.17,SETPOINT,SETPOINT,0.85,0.30,0.01
SUNDAY,23,0.25,0.40,0.32,0.17,SETPOINT,SETPOINT,0.85,0.30,0.00
SUNDAY,24,0.25,0.40,0.32,0.17,SETPOINT,SETPOINT,0.85,0.30,0.00
