METADATA,ASHRAE,INSTITUTIONAL
MONTHLY,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
DAY,HOUR,OCCUPANCY,APPLIANCES,LIGHTING,WATER,HEATING,COOLING,PROCESSES,SERVERS,ELECTROMOBILITY
WEEKDAY,1,0.75,0.60,0.35,0.20,SETPOINT,SETPOINT,0.05,0.50,0.00
WEEKDAY,2,0.70,0.55,0.30,0.15,SETPOINT,SETPOINT,0.05,0.50,0.00
WEEKDAY,3,0.65,0.50,0.30,0.12,SETPOINT,SETPOINT,0.05,0.50,0.00
WEEKDAY,4,0.65,0.50,0.30,0.12,SETPOINT,SETPOINT,0.05,0.50,0.00
WEEKDAY,5,0.70,0.55,0.35,0.20,SETPOINT,SETPOINT,0.05,0.50,0.00
WEEKDAY,6,0.80,0.70,0.55,0.45,SETPOINT,SETPOINT,0.08,0.50,0.05
WEEKDAY,7,0.90,0.85,0.80,0.75,SETPOINT,SETPOINT,0.10,0.50,0.25
WEEKDAY,8,1.00,0.95,0.90,0.95,SETPOINT,SETPOINT,0.15,0.50,0.65
WEEKDAY,9,1.00,0.90,0.90,0.80,SETPOINT,SETPOINT,0.15,0.50,1.00
WEEKDAY,10,0.95,0.85,0.85,0.60,SETPOINT,SETPOINT,0.15,0.50,0.95
WEEKDAY,11,0.95,0.85,0.85,0.55,SETPOINT,SETPOINT,0.15,0.50,0.75
WEEKDAY,12,1.00,1.00,0.90,0.80,SETPOINT,SETPOINT,0.15,0.50,0.60
WEEKDAY,13,1.00,0.95,0.90,0.85,SETPOINT,SETPOINT,0.15,0.50,0.50
WEEKDAY,14,0.95,0.85,0.85,0.60,SETPOINT,SETPOINT,0.15,0.50,0.40
WEEKDAY,15,0.95,0.85,0.85,0.55,SETPOINT,SETPOINT,0.15,0.50,0.30
WEEKDAY,16,1.00,0.90,0.90,0.65,SETPOINT,SETPOINT,0.15,0.50,0.20
WEEKDAY,17,1.00,1.00,0.90,0.80,SETPOINT,SETPOINT,0.12,0.50,0.15
WEEKDAY,18,0.95,0.95,0.85,1.00,SETPOINT,SETPOINT,0.10,0.50,0.10
WEEKDAY,19,0.90,0.90,0.75,0.85,SETPOINT,SETPOINT,0.08,0.50,0.05
WEEKDAY,20,0.85,0.80,0.65,0.65,SETPOINT,SETPOINT,0.08,0.50,0.02
WEEKDAY,21,0.80,0.70,0.55,0.45,SETPOINT,SETPOINT,0.06,0.50,0.00
WEEKDAY,22,0.78,0.65,0.45,0.35,SETPOINT,SETPOINT,0.05,0.50,0.00
WEEKDAY,23,0.75,0.60,0.40,0.25,SETPOINT,SETPOINT,0.05,0.50,0.00
WEEKDAY,24,0.75,0.60,0.35,0.20,SETPOINT,SETPOINT,0.05,0.50,0.00
SATURDAY,1,0.75,0.60,0.35,0.20,SETPOINT,SETPOINT,0.05,0.50,0.00
SATURDAY,2,0.70,0.55,0.30,0.15,SETPOINT,SETPOINT,0.05,0.50,0.00
SATURDAY,3,0.65,0.50,0.30,0.12,SETPOINT,SETPOINT,0.05,0.50,0.00
SATURDAY,4,0.65,0.50,0.30,0.12,SETPOINT,SETPOINT,0.05,0.50,0.00
SATURDAY,5,0.70,0.55,0.35,0.20,SETPOINT,SETPOINT,0.05,0.50,0.00
SATURDAY,6,0.80,0.70,0.55,0.45,SETPOINT,SETPOINT,0.08,0.50,0.01
SATURDAY,7,0.90,0.85,0.80,0.75,SETPOINT,SETPOINT,0.10,0.50,0.03
SATURDAY,8,1.00,0.95,0.90,0.95,SETPOINT,SETPOINT,0.15,0.50,0.06
SATURDAY,9,1.00,0.90,0.90,0.80,SETPOINT,SETPOINT,0.15,0.50,0.14
SATURDAY,10,0.95,0.85,0.85,0.60,SETPOINT,SETPOINT,0.15,0.50,0.25
SATURDAY,11,0.95,0.85,0.85,0.55,SETPOINT,SETPOINT,0.15,0.50,0.36
SATURDAY,12,1.00,1.00,0.90,0.80,SETPOINT,SETPOINT,0.15,0.50,0.41
SATURDAY,13,1.00,0.95,0.90,0.85,SETPOINT,SETPOINT,0.15,0.50,0.41
SATURDAY,14,0.95,0.85,0.85,0.60,SETPOINT,SETPOINT,0.15,0.50,0.39
SATURDAY,15,0.95,0.85,0.85,0.55,SETPOINT,SETPOINT,0.15,0.50,0.36
SATURDAY,16,1.00,0.90,0.90,0.65,SETPOINT,SETPOINT,0.15,0.50,0.33
SATURDAY,17,1.00,1.00,0.90,0.80,SETPOINT,SETPOINT,0.12,0.50,0.30
SATURDAY,18,0.95,0.95,0.85,1.00,SETPOINT,SETPOINT,0.10,0.50,0.25
SATURDAY,19,0.90,0.90,0.75,0.85,SETPOINT,SETPOINT,0.08,0.50,0.19
SATURDAY,20,0.85,0.80,0.65,0.65,SETPOINT,SETPOINT,0.08,0.50,0.14
SATURDAY,21,0.80,0.70,0.55,0.45,SETPOINT,SETPOINT,0.06,0.50,0.08
SATURDAY,22,0.78,0.65,0.45,0.35,SETPOINT,SETPOINT,0.05,0.50,0.04
SATURDAY,23,0.75,0.60,0.40,0.25,SETPOINT,SETPOINT,0.05,0.50,0.02
SATURDAY,24,0.75,0.60,0.35,0.20,SETPOINT,SETPOINT,0.05,0.50,0.00
SUNDAY,1,0.75,0.60,0.35,0.20,SETPOINT,SETPOINT,0.05,0.50,0.00
SUNDAY,2,0.70,0.55,0.30,0.15,SETPOINT,SETPOINT,0.05,0.50,0.00
SUNDAY,3,0.65,0.50,0.30,0.12,SETPOINT,SETPOINT,0.05,0.50,0.00
SUNDAY,4,0.65,0.50,0.30,0.12,SETPOINT,SETPOINT,0.05,0.50,0.00
SUNDAY,5,0.70,0.55,0.35,0.20,SETPOINT,SETPOINT,0.05,0.50,0.00
SUNDAY,6,0.80,0.70,0.55,0.45,SETPOINT,SETPOINT,0.08,0.50,0.01
SUNDAY,7,0.90,0.85,0.80,0.75,SETPOINT,SETPOINT,0.10,0.50,0.03
SUNDAY,8,1.00,0.95,0.90,0.95,SETPOINT,SETPOINT,0.15,0.50,0.06
SUNDAY,9,1.00,0.90,0.90,0.80,SETPOINT,SETPOINT,0.15,0.50,0.14
SUNDAY,10,0.95,0.85,0.85,0.60,SETPOINT,SETPOINT,0.15,0.50,0.25
