METADATA,ASHRAE,MERCANTILE
MONTHLY,1.00,1.00,0.94,0.96,0.98,0.96,0.98,0.98,0.98,0.98,0.99,1.00
DAY,HOUR,OCCUPANCY,APPLIANCES,LIGHTING,WATER,HEATING,COOLING,PROCESSES,SERVERS,ELECTROMOBILITY
WEEKDAY,1,0.00,0.22,0.12,0.02,SETBACK,SETBACK,0.00,0.15,0.00
WEEKDAY,2,0.00,0.22,0.12,0.02,SETBACK,SETBACK,0.00,0.15,0.00
WEEKDAY,3,0.00,0.22,0.12,0.02,SETBACK,SETBACK,0.00,0.15,0.00
WEEKDAY,4,0.00,0.22,0.12,0.02,SETBACK,SETBACK,0.00,0.15,0.00
WEEKDAY,5,0.00,0.22,0.12,0.02,SETBACK,SETBACK,0.00,0.15,0.00
WEEKDAY,6,0.02,0.23,0.14,0.03,SETBACK,SETBACK,0.00,0.15,0.05
WEEKDAY,7,0.05,0.25,0.16,0.04,SETBACK,SETBACK,0.00,0.15,0.25
WEEKDAY,8,0.15,0.35,0.25,0.19,SETPOINT,SETPOINT,0.00,0.15,0.65
WEEKDAY,9,0.35,0.48,0.42,0.18,SETPOINT,SETPOINT,0.00,0.15,1.00
WEEKDAY,10,0.60,0.64,0.63,0.29,SETPOINT,SETPOINT,0.00,0.15,0.95
WEEKDAY,11,0.75,0.74,0.76,0.36,SETPOINT,SETPOINT,0.00,0.15,0.75
WEEKDAY,12,0.80,0.77,0.80,0.48,SETPOINT,SETPOINT,0.00,0.15,0.60
WEEKDAY,13,0.75,0.74,0.76,0.46,SETPOINT,SETPOINT,0.00,0.15,0.50
WEEKDAY,14,0.75,0.74,0.76,0.36,SETPOINT,SETPOINT,0.00,0.15,0.40
WEEKDAY,15,0.80,0.77,0.80,0.38,SETPOINT,SETPOINT,0.00,0.15,0.30
WEEKDAY,16,0.85,0.80,0.84,0.40,SETPOINT,SETPOINT,0.00,0.15,0.20
WEEKDAY,17,0.90,0.84,0.89,0.43,SETPOINT,SETPOINT,0.00,0.15,0.15
WEEKDAY,18,0.85,0.80,0.84,0.50,SETPOINT,SETPOINT,0.00,0.15,0.10
WEEKDAY,19,0.80,0.77,0.80,0.48,SETPOINT,SETPOINT,0.00,0.15,0.05
WEEKDAY,20,0.70,0.70,0.71,0.34,SETPOINT,SETPOINT,0.00,0.15,0.02
WEEKDAY,21,0.45,0.54,0.50,0.22,SETPOINT,SETPOINT,0.00,0.15,0.00
WEEKDAY,22,0.20,0.38,0.29,0.11,SETPOINT,SETPOINT,0.00,0.15,0.00
WEEKDAY,23,0.05,0.25,0.16,0.04,SETPOINT,SETPOINT,0.00,0.15,0.00
WEEKDAY,24,0.00,0.22,0.12,0.02,SETBACK,SETBACK,0.00,0.15,0.00
SATURDAY,1,0.00,0.22,0.12,0.02,SETBACK,SETBACK,0.00,0.15,0.00
SATURDAY,2,0.00,0.22,0.12,0.02,SETBACK,SETBACK,0.00,0.15,0.00
SATURDAY,3,0.00,0.22,0.12,0.02,SETBACK,SETBACK,0.00,0.15,0.00
SATURDAY,4,0.00,0.22,0.12,0.02,SETBACK,SETBACK,0.00,0.15,0.00
SATURDAY,5,0.00,0.22,0.12,0.02,SETBACK,SETBACK,0.00,0.15,0.00
SATURDAY,6,0.02,0.23,0.14,0.03,SETBACK,SETBACK,0.00,0.15,0.02
SATURDAY,7,0.05,0.25,0.16,0.04,SETBACK,SETBACK,0.00,0.15,0.04
SATURDAY,8,0.10,0.32,0.21,0.17,SETPOINT,SETPOINT,0.00,0.15,0.09
SATURDAY,9,0.45,0.54,0.50,0.22,SETPOINT,SETPOINT,0.00,0.15,0.21
SATURDAY,10,0.75,0.74,0.76,0.36,SETPOINT,SETPOINT,0.00,0.15,0.38
SATURDAY,11,0.90,0.84,0.89,0.43,SETPOINT,SETPOINT,0.00,0.15,0.55
SATURDAY,12,1.00,0.90,0.97,0.57,SETPOINT,SETPOINT,0.00,0.15,0.64
SATURDAY,13,1.00,0.90,0.97,0.57,SETPOINT,SETPOINT,0.00,0.15,0.64
SATURDAY,14,0.95,0.87,0.93,0.45,SETPOINT,SETPOINT,0.00,0.15,0.59
SATURDAY,15,0.95,0.87,0.93,0.45,SETPOINT,SETPOINT,0.00,0.15,0.55
SATURDAY,16,0.95,0.87,0.93,0.45,SETPOINT,SETPOINT,0.00,0.15,0.51
SATURDAY,17,0.90,0.84,0.89,0.43,SETPOINT,SETPOINT,0.00,0.15,0.47
SATURDAY,18,0.85,0.80,0.84,0.50,SETPOINT,SETPOINT,0.00,0.15,0.38
SATURDAY,19,0.75,0.74,0.76,0.46,SETPOINT,SETPOINT,0.00,0.15,0.30
SATURDAY,20,0.60,0.64,0.63,0.29,SETPOINT,SETPOINT,0.00,0.15,0.21
SATURDAY,21,0.40,0.51,0.46,0.20,SETPOINT,SETPOINT,0.00,0.15,0.13
SATURDAY,22,0.15,0.35,0.25,0.09,SETPOINT,SETPOINT,0.00,0.15,0.07
SATURDAY,23,0.05,0.25,0.16,0.04,SETBACK,SETBACK,0.00,0.15,0.03
SATURDAY,24,0.00,0.22,0.12,0.02,SETBACK,SETBACK,0.00,0.15,0.00
SUNDAY,1,0.00,0.22,0.12,0.02,SETBACK,SETBACK,0.00,0.15,0.00
SUNDAY,2,0.00,0.22,0.12,0.02,SETBACK,SETBACK,0.00,0.15,0.00
SUNDAY,3,0.00,0.22,0.12,0.02,SETBACK,SETBACK,0.00,0.15,0.00
SUNDAY,4,0.00,0.22,0.12,0.02,SETBACK,SETBACK,0.00,0.15,0.00
SUNDAY,5,0.00,0.22,0.12,0.02,SETBACK,SETBACK,0.00,0.15,0.00
SUNDAY,6,0.00,0.22,0.12,0.02,SETBACK,SETBACK,0.00,0.15,0.01
SUNDAY,7,0.02,0.23,0.14,0.03,SETBACK,SETBACK,0.00,0.15,0.03
SUNDAY,8,0.05,0.25,0.16,0.14,SETPOINT,SETPOINT,0.00,0.15,0.06
SUNDAY,9,0.20,0.38,0.29,0.11,SETPOINT,SETPOINT,0.00,0.15,0.15
SUNDAY,10,0.50,0.57,0.54,0.24,SETPOINT,SETPOINT,0.00,0.15,0.27
SUNDAY,11,0.75,0.74,0.76,0.36,SETPOINT,SETPOINT,0.00,0.15,0.39
SUNDAY,12,0.85,0.80,0.84,0.50,SETPOINT,SETPOINT,0.00,0.15,0.45
SUNDAY,13,0.85,0.80,0.84,0.50,SETPOINT,SETPOINT,0.00,0.15,0.45
SUNDAY,14,0.80,0.77,0.80,0.38,SETPOINT,SETPOINT,0.00,0.15,0.42
SUNDAY,15,0.80,0.77,0.80,0.38,SETPOINT,SETPOINT,0.00,0.15,0.39
SUNDAY,16,0.75,0.74,0.76,0.36,SETPOINT,SETPOINT,0.00,0.15,0.36
SUNDAY,17,0.65,0.67,0.67,0.31,SETPOINT,SETPOINT,0.00,0.15,0.33
SUNDAY,18,0.50,0.57,0.54,0.34,SETPOINT,SETPOINT,0.00,0.15,0.27
SUNDAY,19,0.35,0.48,0.42,0.28,SETPOINT,SETPOINT,0.00,0.15,0.21
SUNDAY,20,0.20,0.38,0.29,0.11,SETPOINT,SETPOINT,0.00,0.15,0.15
SUNDAY,21,0.05,0.25,0.16,0.04,SETPOINT,SETPOINT,0.00,0.15,0.09
SUNDAY,22,0.00,0.22,0.12,0.02,SETBACK,SETBACK,0.00,0.15,0.05
SUNDAY,23,0.00,0.22,0.12,0.02,SETBACK,SETBACK,0.00,0.15,0.02
SUNDAY,24,0.00,0.22,0.12,0.02,SETBACK,SETBACK,0.00,0.15,0.00
