METADATA,ASHRAE,RESIDENTIAL
MONTHLY,0.98,1.00,0.95,0.95,0.95,0.96,0.98,0.98,0.95,0.96,0.96,1.00
DAY,HOUR,OCCUPANCY,APPLIANCES,LIGHTING,WATER,HEATING,COOLING,PROCESSES,SERVERS,ELECTROMOBILITY
WEEKDAY,1,1.00,0.30,0.25,0.10,SETBACK,SETBACK,0.00,0.05,0.25
WEEKDAY,2,1.00,0.25,0.15,0.05,SETBACK,SETBACK,0.00,0.05,0.25
WEEKDAY,3,1.00,0.20,0.10,0.03,SETBACK,SETBACK,0.00,0.05,0.20
WEEKDAY,4,1.00,0.20,0.10,0.03,SETBACK,SETBACK,0.00,0.05,0.15
WEEKDAY,5,1.00,0.20,0.10,0.05,SETBACK,SETBACK,0.00,0.05,0.10
WEEKDAY,6,1.00,0.25,0.12,0.15,SETPOINT,SETPOINT,0.00,0.05,0.05
WEEKDAY,7,1.00,0.40,0.25,0.55,SETPOINT,SETPOINT,0.00,0.05,0.00
WEEKDAY,8,0.90,0.65,0.50,0.95,SETPOINT,SETPOINT,0.00,0.05,0.00
WEEKDAY,9,0.40,0.55,0.45,0.80,SETPOINT,SETPOINT,0.00,0.05,0.00
WEEKDAY,10,0.25,0.35,0.25,0.35,SETPOINT,SETPOINT,0.00,0.05,0.00
WEEKDAY,11,0.25,0.30,0.15,0.20,SETPOINT,SETPOINT,0.00,0.05,0.00
WEEKDAY,12,0.25,0.35,0.12,0.25,SETPOINT,SETPOINT,0.00,0.05,0.00
WEEKDAY,13,0.25,0.40,0.12,0.35,SETPOINT,SETPOINT,0.00,0.05,0.00
WEEKDAY,14,0.25,0.35,0.12,0.25,SETPOINT,SETPOINT,0.00,0.05,0.00
WEEKDAY,15,0.25,0.30,0.12,0.20,SETPOINT,SETPOINT,0.00,0.05,0.05
WEEKDAY,16,0.25,0.35,0.15,0.25,SETPOINT,SETPOINT,0.00,0.05,0.25
WEEKDAY,17,0.30,0.50,0.25,0.40,SETPOINT,SETPOINT,0.00,0.05,0.60
WEEKDAY,18,0.55,0.85,0.50,0.70,SETPOINT,SETPOINT,0.00,0.05,0.90
WEEKDAY,19,0.90,1.00,0.75,1.00,SETPOINT,SETPOINT,0.00,0.05,1.00
WEEKDAY,20,0.90,0.90,0.90,0.85,SETPOINT,SETPOINT,0.00,0.05,0.95
WEEKDAY,21,0.90,0.75,1.00,0.60,SETPOINT,SETPOINT,0.00,0.05,0.80
WEEKDAY,22,1.00,0.55,0.85,0.35,SETBACK,SETPOINT,0.00,0.05,0.60
WEEKDAY,23,1.00,0.40,0.60,0.20,SETBACK,SETPOINT,0.00,0.05,0.45
WEEKDAY,24,1.00,0.35,0.40,0.12,SETBACK,SETBACK,0.00,0.05,0.35
SATURDAY,1,1.00,0.30,0.25,0.10,SETBACK,SETBACK,0.00,0.05,0.30
SATURDAY,2,1.00,0.25,0.15,0.05,SETBACK,SETBACK,0.00,0.05,0.28
SATURDAY,3,1.00,0.20,0.10,0.03,SETBACK,SETBACK,0.00,0.05,0.25
SATURDAY,4,1.00,0.20,0.10,0.03,SETBACK,SETBACK,0.00,0.05,0.20
SATURDAY,5,1.00,0.20,0.10,0.05,SETBACK,SETBACK,0.00,0.05,0.15
SATURDAY,6,1.00,0.25,0.12,0.10,SETPOINT,SETPOINT,0.00,0.05,0.08
SATURDAY,7,0.95,0.35,0.25,0.35,SETPOINT,SETPOINT,0.00,0.05,0.03
SATURDAY,8,0.85,0.60,0.50,0.75,SETPOINT,SETPOINT,0.00,0.05,0.00
SATURDAY,9,0.70,0.70,0.45,0.90,SETPOINT,SETPOINT,0.00,0.05,0.00
SATURDAY,10,0.60,0.65,0.25,0.60,SETPOINT,SETPOINT,0.00,0.05,0.00
SATURDAY,11,0.55,0.60,0.15,0.45,SETPOINT,SETPOINT,0.00,0.05,0.02
SATURDAY,12,0.50,0.60,0.12,0.40,SETPOINT,SETPOINT,0.00,0.05,0.04
SATURDAY,13,0.50,0.65,0.12,0.45,SETPOINT,SETPOINT,0.00,0.05,0.06
SATURDAY,14,0.50,0.55,0.12,0.40,SETPOINT,SETPOINT,0.00,0.05,0.08
SATURDAY,15,0.55,0.55,0.12,0.35,SETPOINT,SETPOINT,0.00,0.05,0.12
SATURDAY,16,0.60,0.60,0.15,0.40,SETPOINT,SETPOINT,0.00,0.05,0.25
SATURDAY,17,0.70,0.70,0.25,0.55,SETPOINT,SETPOINT,0.00,0.05,0.55
SATURDAY,18,0.80,0.85,0.50,0.75,SETPOINT,SETPOINT,0.00,0.05,0.85
SATURDAY,19,0.90,1.00,0.75,1.00,SETPOINT,SETPOINT,0.00,0.05,1.00
SATURDAY,20,0.95,0.90,0.90,0.85,SETPOINT,SETPOINT,0.00,0.05,0.95
SATURDAY,21,1.00,0.75,1.00,0.60,SETPOINT,SETPOINT,0.00,0.05,0.85
SATURDAY,22,1.00,0.55,0.85,0.35,SETBACK,SETPOINT,0.00,0.05,0.70
SATURDAY,23,1.00,0.40,0.60,0.20,SETBACK,SETPOINT,0.00,0.05,0.50
SATURDAY,24,1.00,0.35,0.40,0.12,SETBACK,SETBACK,0.00,0.05,0.38
SUNDAY,1,1.00,0.30,0.25,0.10,SETBACK,SETBACK,0.00,0.05,0.30
SUNDAY,2,1.00,0.25,0.15,0.05,SETBACK,SETBACK,0.00,0.05,0.28
SUNDAY,3,1.00,0.20,0.10,0.03,SETBACK,SETBACK,0.00,0.05,0.25
SUNDAY,4,1.00,0.20,0.10,0.03,SETBACK,SETBACK,0.00,0.05,0.20
