METADATA,ASHRAE,STORAGE
MONTHLY,0.98,0.90,0.95,0.98,0.98,1.00,1.00,1.00,1.00,0.98,1.00,1.00
DAY,HOUR,OCCUPANCY,APPLIANCES,LIGHTING,WATER,HEATING,COOLING,PROCESSES,SERVERS,ELECTROMOBILITY
WEEKDAY,1,0.00,0.04,0.05,0.01,OFF,OFF,0.00,0.10,0.00
WEEKDAY,2,0.00,0.04,0.05,0.01,OFF,OFF,0.00,0.10,0.00
WEEKDAY,3,0.00,0.04,0.05,0.01,OFF,OFF,0.00,0.10,0.00
WEEKDAY,4,0.00,0.04,0.05,0.01,OFF,OFF,0.00,0.10,0.00
WEEKDAY,5,0.00,0.04,0.05,0.01,OFF,OFF,0.00,0.10,0.00
WEEKDAY,6,0.05,0.07,0.09,0.03,SETPOINT,SETPOINT,0.00,0.10,0.05
WEEKDAY,7,0.25,0.20,0.25,0.12,SETPOINT,SETPOINT,0.00,0.10,0.25
WEEKDAY,8,0.70,0.42,0.61,0.33,SETPOINT,SETPOINT,0.00,0.10,0.65
WEEKDAY,9,0.80,0.47,0.69,0.37,SETPOINT,SETPOINT,0.00,0.10,1.00
WEEKDAY,10,0.80,0.47,0.69,0.37,SETPOINT,SETPOINT,0.00,0.10,0.95
WEEKDAY,11,0.80,0.47,0.69,0.37,SETPOINT,SETPOINT,0.00,0.10,0.75
WEEKDAY,12,0.60,0.37,0.53,0.28,SETPOINT,SETPOINT,0.00,0.10,0.60
WEEKDAY,13,0.80,0.47,0.69,0.37,SETPOINT,SETPOINT,0.00,0.10,0.50
WEEKDAY,14,0.80,0.47,0.69,0.37,SETPOINT,SETPOINT,0.00,0.10,0.40
WEEKDAY,15,0.80,0.47,0.69,0.37,SETPOINT,SETPOINT,0.00,0.10,0.30
WEEKDAY,16,0.75,0.45,0.65,0.35,SETPOINT,SETPOINT,0.00,0.10,0.20
WEEKDAY,17,0.45,0.30,0.41,0.21,SETPOINT,SETPOINT,0.00,0.10,0.15
WEEKDAY,18,0.20,0.17,0.21,0.10,SETPOINT,SETPOINT,0.00,0.10,0.10
WEEKDAY,19,0.05,0.07,0.09,0.03,SETPOINT,SETPOINT,0.00,0.10,0.05
WEEKDAY,20,0.02,0.05,0.07,0.02,OFF,OFF,0.00,0.10,0.02
WEEKDAY,21,0.00,0.04,0.05,0.01,OFF,OFF,0.00,0.10,0.00
