METADATA,ASHRAE,UTILITY
MONTHLY,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
DAY,HOUR,OCCUPANCY,APPLIANCES,LIGHTING,WATER,HEATING,COOLING,PROCESSES,SERVERS,ELECTROMOBILITY
WEEKDAY,1,0.00,0.02,0.03,0.00,OFF,OFF,0.30,0.15,0.00
WEEKDAY,2,0.00,0.02,0.03,0.00,OFF,OFF,0.30,0.15,0.00
WEEKDAY,3,0.00,0.02,0.03,0.00,OFF,OFF,0.30,0.15,0.00
WEEKDAY,4,0.00,0.02,0.03,0.00,OFF,OFF,0.30,0.15,0.00
WEEKDAY,5,0.00,0.02,0.03,0.00,OFF,OFF,0.30,0.15,0.00
WEEKDAY,6,0.00,0.02,0.03,0.00,OFF,OFF,0.30,0.15,0.00
WEEKDAY,7,0.05,0.04,0.06,0.01,OFF,OFF,0.30,0.15,0.03
WEEKDAY,8,0.10,0.07,0.08,0.03,SETPOINT,SETPOINT,0.30,0.15,0.08
WEEKDAY,9,0.15,0.08,0.10,0.04,SETPOINT,SETPOINT,0.30,0.15,0.12
WEEKDAY,10,0.20,0.10,0.13,0.05,SETPOINT,SETPOINT,0.30,0.15,0.12
WEEKDAY,11,0.20,0.10,0.13,0.05,SETPOINT,SETPOINT,0.30,0.15,0.10
WEEKDAY,12,0.15,0.08,0.10,0.04,SETPOINT,SETPOINT,0.30,0.15,0.08
WEEKDAY,13,0.15,0.08,0.10,0.04,SETPOINT,SETPOINT,0.30,0.15,0.06
WEEKDAY,14,0.20,0.10,0.13,0.05,SETPOINT,SETPOINT,0.30,0.15,0.06
WEEKDAY,15,0.20,0.10,0.13,0.05,SETPOINT,SETPOINT,0.30,0.15,0.05
WEEKDAY,16,0.15,0.08,0.10,0.04,SETPOINT,SETPOINT,0.30,0.15,0.03
WEEKDAY,17,0.10,0.07,0.08,0.03,SETPOINT,SETPOINT,0.30,0.15,0.02
WEEKDAY,18,0.05,0.04,0.06,0.01,OFF,OFF,0.30,0.15,0.01
WEEKDAY,19,0.00,0.02,0.03,0.00,OFF,OFF,0.30,0.15,0.00
WEEKDAY,20,0.00,0.02,0.03,0.00,OFF,OFF,0.30,0.15,0.00
WEEKDAY,21,0.00,0.02,0.03,0.00,OFF,OFF,0.30,0.15,0.00
WEEKDAY,22,0.00,0.02,0.03,0.00,OFF,OFF,0.30,0.15,0.00
WEEKDAY,23,0.00,0.02,0.03,0.00,OFF,OFF,0.30,0.15,0.00
WEEKDAY,24,0.00,0.02,0.03,0.00,OFF,OFF,0.30,0.15,0.00
SATURDAY,1,0.00,0.02,0.03,0.00,OFF,OFF,0.30,0.15,0.02
SATURDAY,2,0.00,0.02,0.03,0.00,OFF,OFF,0.30,0.15,0.02
SATURDAY,3,0.00,0.02,0.03,0.00,OFF,OFF,0.30,0.15,0.02
SATURDAY,4,0.00,0.02,0.03,0.00,OFF,OFF,0.30,0.15,0.02
SATURDAY,5,0.00,0.02,0.03,0.00,OFF,OFF,0.30,0.15,0.02
SATURDAY,6,0.00,0.02,0.03,0.00,OFF,OFF,0.30,0.15,0.02
SATURDAY,7,0.00,0.02,0.03,0.00,OFF,OFF,0.30,0.15,0.02
SATURDAY,8,0.03,0.03,0.04,0.01,OFF,OFF,0.30,0.15,0.02
SATURDAY,9,0.05,0.04,0.06,0.01,OFF,OFF,0.30,0.15,0.02
SATURDAY,10,0.08,0.06,0.07,0.02,OFF,OFF,0.30,0.15,0.02
SATURDAY,11,0.08,0.06,0.07,0.02,OFF,OFF,0.30,0.15,0.02
SATURDAY,12,0.05,0.04,0.06,0.01,OFF,OFF,0.30,0.15,0.02
SATURDAY,13,0.05,0.04,0.06,0.01,OFF,OFF,0.30,0.15,0.02
SATURDAY,14,0.05,0.04,0.06,0.01,OFF,OFF,0.30,0.15,0.02
