,setpoint,setback
SCE-001,22.4,27.7
SCE-002,23.9,28.4
SCE-003,22.8,28.1
SCE-004,25.0,29.3
SCE-005,25.5,28.8
SCE-006,25.1,28.5
SCE-007,24.5,29.9
SCE-008,25.1,26.5
SCE-009,25.4,26.3
SCE-010,24.1,27.4
SCE-011,23.5,27.1
SCE-012,23.4,27.0
SCE-013,23.6,27.3
SCE-014,23.0,26.4
SCE-015,24.2,27.8
SCE-016,24.1,29.4
SCE-017,24.4,28.6
SCE-018,23.2,29.7
SCE-019,24.8,27.5
SCE-020,23.8,28.3
SCE-021,23.5,29.3
SCE-022,24.2,27.4
SCE-023,25.3,28.8
SCE-024,24.8,26.2
SCE-025,22.0,26.9
SCE-026,22.8,28.3
SCE-027,24.4,26.7
SCE-028,24.6,26.2
SCE-029,24.9,26.5
SCE-030,25.6,28.9
SCE-031,24.6,29.7
SCE-032,24.8,26.6
SCE-033,22.7,27.0
SCE-034,23.6,26.4
SCE-035,25.1,29.6
SCE-036,24.9,28.0
SCE-037,22.8,26.3
SCE-038,23.5,28.2
SCE-039,24.8,29.1
SCE-040,22.2,27.0
SCE-041,22.9,29.7
SCE-042,22.9,30.0
SCE-043,23.0,26.3
SCE-044,25.5,27.3
SCE-045,25.9,27.9
SCE-046,23.8,29.9
SCE-047,22.4,29.3
SCE-048,22.6,27.0
SCE-049,24.4,27.6
SCE-050,25.7,27.8
SCE-051,24.3,28.8
SCE-052,22.5,26.1
SCE-053,25.4,26.4
SCE-054,24.8,27.0
SCE-055,22.5,27.9
SCE-056,24.8,26.4
SCE-057,25.9,29.9
SCE-058,22.8,27.7
SCE-059,22.1,30.0
SCE-060,24.6,27.5
SCE-061,25.6,26.4
SCE-062,25.9,27.7
SCE-063,22.4,28.1
SCE-064,25.3,27.3
SCE-065,22.4,27.3
SCE-066,25.5,29.3
SCE-067,23.2,26.7
SCE-068,25.0,29.2
SCE-069,24.6,29.0
SCE-070,22.8,29.2
SCE-071,22.4,29.1
SCE-072,23.1,29.9
SCE-073,25.1,27.7
SCE-074,23.8,26.5
SCE-075,24.4,26.3
SCE-076,24.3,29.3
SCE-077,25.0,28.6
SCE-078,24.3,26.9
SCE-079,23.7,26.6
SCE-080,23.7,29.9
SCE-081,23.6,27.0
SCE-082,22.7,26.3
SCE-083,24.0,28.3
SCE-084,22.5,27.2
SCE-085,24.1,28.9
SCE-086,22.2,27.5
SCE-087,25.4,27.3
SCE-088,24.1,29.2
SCE-089,22.1,26.8
SCE-090,22.0,29.3
SCE-091,24.7,27.9
SCE-092,23.6,29.6
SCE-093,23.3,26.7
SCE-094,24.1,29.7
SCE-095,23.3,29.4
SCE-096,24.3,28.5
SCE-097,25.8,29.0
SCE-098,22.1,29.2
SCE-099,22.3,28.7
SCE-100,23.6,26.5
