,setpoint,setback
SCE-001,21.2,14.2
SCE-002,20.9,14.6
SCE-003,19.1,14.6
SCE-004,18.6,14.2
SCE-005,19.7,15.6
SCE-006,21.7,17.3
SCE-007,20.3,17.3
SCE-008,19.2,15.8
SCE-009,21.5,15.3
SCE-010,20.4,14.5
SCE-011,20.2,17.4
SCE-012,18.6,15.1
SCE-013,18.8,14.5
SCE-014,19.7,18.0
SCE-015,20.1,15.2
SCE-016,19.0,14.4
SCE-017,18.0,15.3
SCE-018,18.4,16.2
SCE-019,19.9,17.8
SCE-020,21.9,15.2
SCE-021,19.5,16.6
SCE-022,20.4,15.6
SCE-023,18.1,16.2
SCE-024,18.5,14.6
SCE-025,21.4,15.8
SCE-026,20.0,14.3
SCE-027,21.9,17.2
SCE-028,21.8,17.6
SCE-029,21.0,15.1
SCE-030,18.8,17.1
SCE-031,19.3,17.7
SCE-032,18.8,16.0
SCE-033,21.6,15.6
SCE-034,18.7,16.0
SCE-035,20.1,17.6
SCE-036,21.4,14.1
SCE-037,20.2,17.9
SCE-038,18.3,16.6
SCE-039,21.3,15.5
SCE-040,18.7,17.8
SCE-041,20.0,15.5
SCE-042,19.4,14.5
SCE-043,19.2,16.8
SCE-044,19.5,16.9
SCE-045,20.3,15.3
SCE-046,20.3,14.4
SCE-047,21.8,17.2
SCE-048,20.2,15.4
SCE-049,20.2,15.2
SCE-050,20.4,17.8
SCE-051,21.8,16.3
SCE-052,20.5,17.9
SCE-053,20.4,14.6
SCE-054,21.3,16.7
SCE-055,18.8,17.9
SCE-056,19.9,15.6
SCE-057,21.6,17.0
SCE-058,18.5,16.1
SCE-059,18.1,17.1
SCE-060,18.1,15.2
SCE-061,18.0,16.3
SCE-062,21.2,16.1
SCE-063,21.0,15.4
SCE-064,21.8,16.2
SCE-065,20.5,14.1
SCE-066,22.0,15.0
SCE-067,18.1,15.3
SCE-068,21.5,16.4
SCE-069,20.1,17.2
SCE-070,21.2,15.5
SCE-071,20.1,16.2
SCE-072,21.6,14.1
SCE-073,19.7,16.0
SCE-074,20.5,16.4
SCE-075,20.1,14.5
SCE-076,19.2,17.7
SCE-077,21.4,16.0
SCE-078,21.0,17.3
SCE-079,20.8,16.8
SCE-080,21.1,17.3
SCE-081,21.4,17.4
SCE-082,18.6,15.6
SCE-083,19.7,14.2
SCE-084,20.9,15.3
SCE-085,18.7,16.4
SCE-086,20.4,15.4
SCE-087,21.0,14.3
SCE-088,20.7,15.6
SCE-089,21.9,16.2
SCE-090,21.2,17.4
SCE-091,21.0,14.1
SCE-092,21.5,15.9
SCE-093,21.6,17.5
SCE-094,18.0,17.5
SCE-095,19.6,16.2
SCE-096,20.6,17.4
SCE-097,21.5,15.5
SCE-098,19.6,17.5
SCE-099,18.6,17.9
SCE-100,21.6,16.3
